clinician_id,specialty,years_experience
C2000,Cardiologia,38
C2001,Ortopedia,2
C2002,Clínica Geral,26
C2003,Psiquiatria,6
C2004,Endocrinologia,20
C2005,Clínica Geral,23
C2006,Psiquiatria,15
C2007,Endocrinologia,6
C2008,Cardiologia,28
C2009,Ortopedia,35
C2010,Psiquiatria,11
C2011,Ortopedia,8
C2012,Psiquiatria,24
C2013,Cardiologia,21
C2014,Endocrinologia,36
C2015,Ortopedia,7
C2016,Clínica Geral,5
C2017,Endocrinologia,29
C2018,Clínica Geral,16
C2019,Clínica Geral,6
C2020,Cardiologia,14
C2021,Pediatria,2
C2022,Pediatria,25
C2023,Ortopedia,31
C2024,Dermatologia,13
C2025,Ginecologia,18
C2026,Pediatria,17
C2027,Ortopedia,28
C2028,Clínica Geral,12
C2029,Pediatria,35
C2030,Cardiologia,22
C2031,Ortopedia,39
C2032,Ginecologia,1
C2033,Psiquiatria,37
C2034,Dermatologia,21
C2035,Clínica Geral,1
C2036,Clínica Geral,4
C2037,Psiquiatria,32
C2038,Pediatria,1
C2039,Psiquiatria,13
C2040,Clínica Geral,17
C2041,Ginecologia,12
C2042,Pediatria,7
C2043,Ortopedia,3
C2044,Clínica Geral,26
C2045,Psiquiatria,31
C2046,Clínica Geral,36
C2047,Clínica Geral,26
C2048,Ginecologia,3
C2049,Ginecologia,28
C2050,Neurologia,17
C2051,Psiquiatria,38
C2052,Cardiologia,30
C2053,Psiquiatria,2
C2054,Ginecologia,8
C2055,Neurologia,14
C2056,Pediatria,37
C2057,Clínica Geral,35
C2058,Dermatologia,39
C2059,Psiquiatria,11
C2060,Psiquiatria,15
C2061,Endocrinologia,2
C2062,Ginecologia,37
C2063,Dermatologia,32
C2064,Ortopedia,13
C2065,Endocrinologia,17
C2066,Cardiologia,15
C2067,Psiquiatria,33
C2068,Neurologia,16
C2069,Neurologia,13
C2070,Ortopedia,22
C2071,Endocrinologia,23
C2072,Endocrinologia,36
C2073,Neurologia,10
C2074,Neurologia,17
C2075,Clínica Geral,30
C2076,Neurologia,13
C2077,Ginecologia,30
C2078,Neurologia,30
C2079,Endocrinologia,7
C2080,Clínica Geral,10
C2081,Cardiologia,35
C2082,Endocrinologia,2
C2083,Neurologia,30
C2084,Neurologia,19
C2085,Neurologia,39
C2086,Clínica Geral,37
C2087,Psiquiatria,3
C2088,Clínica Geral,25
C2089,Pediatria,34
C2090,Ginecologia,22
C2091,Dermatologia,38
C2092,Ginecologia,14
C2093,Neurologia,39
C2094,Dermatologia,2
C2095,Cardiologia,32
C2096,Endocrinologia,3
C2097,Psiquiatria,8
C2098,Clínica Geral,26
C2099,Pediatria,32
C2100,Ortopedia,11
C2101,Ginecologia,1
C2102,Pediatria,15
C2103,Neurologia,4
C2104,Clínica Geral,4
C2105,Clínica Geral,28
C2106,Endocrinologia,10
C2107,Dermatologia,11
C2108,Dermatologia,23
C2109,Cardiologia,3
C2110,Dermatologia,39
C2111,Dermatologia,39
C2112,Neurologia,17
C2113,Neurologia,22
C2114,Pediatria,27
C2115,Clínica Geral,16
C2116,Clínica Geral,16
C2117,Clínica Geral,3
C2118,Pediatria,33
C2119,Ortopedia,2
